,movie,star,comment
0,放牛班的春天,5,纸飞机+挥动的小手——那一刻，什么都值了
1,放牛班的春天,5,一个孩子在启蒙时期，能够遇到一位好的老师，真的是一件非常幸运的事情。
2,放牛班的春天,4,那漫天飘扬的纸飞机是我对你最诚挚的敬意。
3,放牛班的春天,5,星期六，贝贝抱着小熊跟马修老师回家了！QwQ
4,放牛班的春天,5,莫翰奇每一次独唱我都热泪盈眶.
5,放牛班的春天,4,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆
6,放牛班的春天,5,体育和音乐是促进国家团结的要素。可是俺都不会哈哈。
7,放牛班的春天,5,歌真好听，为什么我上学内会儿参加合唱队唱的都是《黄河大合唱》之类的
8,放牛班的春天,5,看开头第一眼我就知道我喜欢。从来没有教不好的学生只有不会教的老师。人与人之间的交流是用心的，在我看着你的眼睛的时候我知道你是真心为我着想的，所以我才愿意选择相信。就这样。看一部好电影的感觉像是给心灵洗了一个热水澡。从里到外都会感觉到清澈的感觉。
9,放牛班的春天,5,看到激动地直起鸡皮疙瘩，看来总有那么一种类型的东西能感动本人
10,放牛班的春天,5,所以我一直坚信最好的教育人才应该放在学前教育和初等教育。小学老师对孩子的未来产生的影响远大于大学老师。可现状却是，大批自己都没学会怎么做人的人被随随便便扔到了小学、初中做老师，放纵霸凌，根据权势财势“因材施教”，惩罚性教育，把孩子逼上绝路就让天性不良背锅，呸。
11,放牛班的春天,4,男孩的声音真是好听……
12,放牛班的春天,5,被那些孩子们所感动。天籁一般的童声，定是最接近上帝的存在。
13,放牛班的春天,5,马修先生好可爱。
14,放牛班的春天,4,问题孩子何其多，善良老师却难觅，但是还好有你。纸飞机送别那一段哭了。
15,放牛班的春天,5,每一个孩子都是天使！
16,放牛班的春天,5,一位影评人：“不同于一般的运用悲情拼命煽情的悲情电影，或极尽夸张搞怪的爆笑喜剧，《放牛班的春天》是一部让人因为喜悦而泪流满面的电影。这也创造了法国电影新概念——阳光情感电影。这部没有美女、暴力；没有动作、凶杀和商业元素的好电影成为了本年度法国人的心灵鸡汤”
17,放牛班的春天,4,一日为师 终生为父
18,放牛班的春天,4,第一幕里莫安琦居然会想不起改变他命运的导师叫什么，让我有点不理解。中间校长突然的转变也较生硬。一向不太喜欢法国电影，觉得实验企图太强而显刻意。不过瑕不掩瑜，这部电影还是很好看。
19,放牛班的春天,5,"=口=还有漂亮的小正太们哟,很棒的电影,我在电影院看的。"
20,放牛班的春天,4,音乐比电影好。
21,放牛班的春天,5,我曾经想成为这样的老师。即使没有做到，克莱门特老师依然在我心里树立了一个真正的授业者的形象，不仅仅是功利的，他还教会你爱和美。
22,放牛班的春天,5,一个老师对学生的影响很重要 一个好老师会带给学生无限的正能量 看完这部电影感触颇深 回忆这些年的老师 有好也有不好 但此刻都挺怀念的
23,放牛班的春天,5,结尾有泪点，教育可不简简单单是体罚那么简单，可见一个表面爱捣蛋的孩子都有心中解不开的结。每个孩子都有自己的性格。永远不要说永远，凡事皆有可能。真是一部不错的电影，感人肺腑，里面的音乐也非常不错。要说遗憾就是那个有暴力倾向的孩子没有被带到正道上来，可怜了我的男中音。
24,放牛班的春天,4,电影是什么？可以是造梦机器或者反映现实的利器。经典影片有种扑面而来的无敌魅力，它娓娓道来不急不躁，却让你度过了生命中无从体会的精彩时光。小不点实在萌化了，念法语台词时习惯性上扬嘴角，别人合唱时百无聊赖坐在半人高的讲台，最后抱着玩偶带着行李勇敢地说走就走。音乐拯救灵魂，纸飞机真美。
25,放牛班的春天,4,老套的剧情走向却还是触动到内心，印象最深的一幕便是小正太拖着行李箱跟老师一起离开的那段。一个中年秃头的男人和一个萌萌的小男孩，看着他们的背影就觉得很美好。
26,放牛班的春天,4,高中音乐老师在课堂上给我们放的一部影片，愿每个孩子都能遇到克莱门这样的老师
27,放牛班的春天,5,音乐成就人生！《放牛班的春天》：好听的音乐，好看的电影！曾经，音乐是我的第一个梦想；可惜，我没有那样的幸运能在我嗓音最佳的童年时期邂逅如克莱门特一般的音乐老师；反而，如今却在他身上看到了不少我的影子：我非老师，但我身边也有一群孩子相伴，我们不是组成合唱团，而是观影团或游乐团......
28,放牛班的春天,5,这是一部论如何教育的影片。在剧终，学校以暴制暴，导致学生越来越残忍。当然结局是好的。挺值得观看的。
29,放牛班的春天,5,音乐感人
30,放牛班的春天,5,还记得是音乐课上老师放给我们看的，当时只放了前半部，后半部是自己去找来看的，喜欢老师带着小孩练习唱歌的时候，每个小孩都不是无用的，只是缺少正确的引导，欣慰的是影片里的这群孩子遇到了这位兢兢业业的老师，最后那漫天飞舞的纸飞机和老师带走派皮诺的情景让人心生欢喜
31,放牛班的春天,4,音乐真好听。
32,放牛班的春天,5,唱诗班的美好歌声
33,放牛班的春天,5,如果我是老师，能拥有从一窗口飞出来的纸飞机，就足够了。
34,放牛班的春天,4,在启蒙时期，如果遇到了能够正确带领我们思想和前进方向的老师，真的，是一个非常幸运的事情。纸飞机真的是让人热泪盈眶啊
35,放牛班的春天,5,这样的老师毕竟是少数
36,放牛班的春天,5,希望每个孩子在成长时都能遇到那些又平凡又伟大的光芒。
37,放牛班的春天,5,很幸运这群孩子遇到了这样的老师  很敬佩这样的老师  他为这群孩子带来了新的春天  让孩子们心中最原始的纯真慢慢绽放…
38,放牛班的春天,5,老师对学生的一举一动都可能改变他的一生，做校长那样的人，还是做助理老师那样的人，一念之间。
39,放牛班的春天,5,幸运的是，一直没看，于是第一回就等来了大银幕，还等来了导演。更幸运的是，那份感动，并没有因为时代变迁而磨灭多少。这部电影之所以成功，是因为失败。就像导演说的，假如最终马修重返学校，合唱团走上巡演道路，大红大发，那你不一定喜欢了。诚然，传世在于，教育体制仍有那么多弊病，而一代代的孩童都要渡过这一劫，当真是看各自际遇与造化了。马修的存在，成为一个希冀的标杆。当外界如此冷漠凶狠时，还有那清澈如许的乐韵，慰藉那些零落的暗夜。明年，等着导演再次把这些童年往事，搬上舞台剧吧。@资料馆
40,放牛班的春天,4,以前老师放给我们看的，挺好看的
41,放牛班的春天,4,声音真的很好听啊！在那样的年纪遇到一个很好的老师，真好。满地的纸飞机，是我对你最大的敬意。
42,放牛班的春天,4,男童音高无限
43,放牛班的春天,4,在别人看来无药可救的孩子遇到了一个有耐心，给他们信心和希望的老师，改变了一个班的孩子，满满的温馨。
44,放牛班的春天,5,"一个失意的音乐家和一群调皮的男孩的音乐故事，很动人，最喜欢里面最小的那个孩子。
里面的音乐都很好听，主演真的算是天籁之音。"
45,放牛班的春天,4,夸大了世间的能量。
46,放牛班的春天,5,庆幸这帮孩子遇上这么一个老师，耐心，信心，希望……在别人看来无药可救的孩子都是有可能的。可是并不是每个孩子都能遇到这样改变自己一生的老师
47,放牛班的春天,5,调皮学生遇见实力老师，青春的蜕变和生长让人感动。
48,放牛班的春天,4,唱诗班的音乐太好听了，能洗涤心灵的纯净歌声
49,放牛班的春天,5,好经典的片子，涓涓细流温暖人心
50,放牛班的春天,4,【B+】主流审美电影，单纯，美好，治愈。《死亡诗社》的童话版本
51,放牛班的春天,5,反复看过多遍的电影，每次听到孩子们的歌声就感到内心澄澈
52,放牛班的春天,4,关于师生，家庭，教育等题材的电影总是能让人产生共鸣，震撼人的心灵
53,放牛班的春天,5,这么好的电影，我竟然在电脑里放了这么久才看！！
54,放牛班的春天,5,很感动的电影，每次听到里面的歌就感觉很治愈
55,放牛班的春天,4,然而，事情并不顺利，克莱门特发现学生皮埃尔•莫安琦（尚•巴堤•莫里耶 饰）拥有非同一般的音乐天赋，但是单亲家庭长大的他，性格异常敏感孤僻，怎样释放皮埃尔的音乐才能，让克莱门特头痛不已；同时，他与皮埃尔母亲的感
56,放牛班的春天,4,Morhange的男高音独唱就好像天使，太美妙的声音了。2006年9月23日重看时产生了“年少滋味”。
57,放牛班的春天,4,看完电影心情的是暖暖的，因为这样的老师，因为这样的孩子。
58,放牛班的春天,4,遇到一个好的老师多么重要，环境原因，我们的老师只能让我们看这部片子，只能在我们心里种下种子
59,放牛班的春天,5,非常好看，已经刷了好几遍，每看一次都有不同的感悟
60,放牛班的春天,5,美妙的音乐和歌喉，令人羡慕的孩子，这么好的老师。
61,放牛班的春天,4,世事不能说死，有些事情总值得尝试。永不轻言放弃，前方总有希望在等待。
62,放牛班的春天,5,总有一种纯粹的感情让人热泪盈眶，温暖人心
63,放牛班的春天,5,我小时候怎么没遇见这么好的老师
64,放牛班的春天,5,马修老师用音乐拉进了与这群孩子之间的距离，也打开了孩子们一直封闭的心灵
65,放牛班的春天,5,非常理想化的一部励志教育电影。音乐非常好听。小演员们演技与歌声俱佳。电影剧情过于理想化，给人非常美好的印象。不过很多老师、导员、叫兽口口声声说要向影片里的马修老师学习，可干的却是院长的勾当//【20180909中国电影资料馆展映】时隔7年再刷大银幕。依旧深觉剧情过于理想化。听了导演讲了一些幕后故事，蛮有趣。不拍续集是对的。四星半
66,放牛班的春天,5,每个孩子都是特殊的 有着独立人格的 遇到好的老师真的可以改变一生 可惜大多数孩子的天性最后都被磨掉 好的老师太少了 平等看待 发掘天性 说的容易 做起来太难了
67,放牛班的春天,4,豆瓣评分9.1分，很夸张啊。我看的时候不知道是不是因为没有入戏，没感觉特感动，或是很幽默。不过就这片子的主题来说， 就决定了这部片子必然是部佳作。有人把它拿来和《死亡诗社》来比较，不过在我心中还是后者更加经典。当然片子中合唱的歌曲都还很好听，给我留下了美好的印象
68,放牛班的春天,4,音乐比电影还要好
69,放牛班的春天,5,我热爱一切跟合唱团有关的电影，那是我童年最好的回忆。这么多年后情节都记不清楚了，只在每次听原声的时候就能想起当时在被泪水模糊的视线里看见纸飞机从窗口飞出，漫天飘舞。谢谢，再见。
70,放牛班的春天,5,"《放牛班的春天》用音乐和歌声为介质将感动舒缓的沁入心脾 ，法式浪漫并不仅专属于爱情，在那名为""池塘之底""的校园，老师马修用宽容和善良融化着一群问题孩子们被冰封的心灵，更令这些被定义标签的学生唱响了那令人难忘的天籁之歌。"
71,放牛班的春天,5,身為老師，深深地被這部電影觸動。
72,放牛班的春天,5,童声合唱非常动听，爱与希望，人性的洗礼
73,放牛班的春天,4,如果能被善待，每个学生都是天使。那漫天飞舞的纸飞机，写着对老师最诚挚的敬意。
74,放牛班的春天,5,"友善待人，他人也会回以善意。真的是个很棒的老师。还有那个5×7＝53的，真的很搞笑了。
"
75,放牛班的春天,5,海面上吹来的风，托起轻快的羽毛，驻足于孤岛的岩石之上，传来讯息，冬天即将过去，你的气息飘向远方，飘向深山……
76,放牛班的春天,5,马修老师是为人师表的典范，而本片同时也是音乐与剧情巧妙结合的典范。
77,放牛班的春天,5,一个老师用音乐，用自己的努力改变了一群少年
78,放牛班的春天,5,非常棒的电影，很能温暖和治愈人心
79,放牛班的春天,4,音乐和 人性的完美结合。2020年3月6日二刷。一个平凡人的伟大一生，法国电影的清新温暖还是感人。四星到五星。飘扬的纸飞机是雨天晴，最后的旁白触动我了，老师继续教书育人 教学音乐直到终老，从没想过扬名立万，短暂的爱情，音乐的梦想
80,放牛班的春天,5,开启了我热爱电影的大门，崇高献上迟到的五颗星。
81,放牛班的春天,5,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩。最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受
82,放牛班的春天,5,朴实接地气。让我感觉很温暖。
83,放牛班的春天,5,什麽是教育？不是教會孩子如何在體制下安於被控制，而是發掘出孩子非同凡響的閃光點！影片中能或多或少找到一些《Nuovo cinema Paradiso》的影子，電影與音樂一樣春風化雨，紙飛機飛揚的窗臺，令人明白一切真心付出都會得到心的應答。Jean-Baptiste Maunier有一雙充滿靈氣的雙眼。
84,放牛班的春天,5,两星给了师生情，三星给了天籁音
85,放牛班的春天,5,看完后是“一次心灵的洗礼”，虽然总有聚散时，但不变的那份师生情、同伴情却如春天般的那样永远盎然生机。
86,放牛班的春天,4,经典好片，世界上最动人的音乐也不过如此吧，师生情是永远值得歌颂的主题。
87,放牛班的春天,5,非常好看感人
88,放牛班的春天,5,很早之前看过的电影了，现在记得的就是留在心底的温暖
89,放牛班的春天,5,纯真的歌声让心灵得到了净化
90,放牛班的春天,4,是好片子没错，就是说几点看法：纵火青年没有后文，难道意指不可救药？校长明明有“悔改”的意向，却硬是被导演拉回恶人；克莱门特其实并未端平这盆教育之水，加入他对solo小孩母亲的“爱”则显得有些“另有他途”，仅仅是显得啊；最重要的是我一直期待的感动爆点到最后都没出现，除了最后的纸飞机
91,放牛班的春天,5,儿童那天籁般的声音好动听~纸飞机代表人的希望，很有哲理的一部电影~
92,放牛班的春天,4,这不仅是一部好看的电影，这也是一部好听的电影，那如天籁的童声每次都能让人陶醉并感动。好老师的题材已经很多，但这部无疑是其中最棒的。一个孩子在启蒙时期，能够遇到一位好的老师，真的是一件非常幸运的事情。
93,放牛班的春天,5,"我很难解释为什么现在才看这部电影，和想的内容完全不一样，这大概是我每次都绕过它的理由，所以我真的喜欢了。
音乐和其他艺术是共通的，我从没遇到那样的恩师、父亲或者朋友。
在那个很有天分的孩子澄澈的眼里看到了过去的自己，只是，真的只停留在过去了。谁能不承认音乐是救赎呢？要离开地狱了"
94,放牛班的春天,4,本片堪称法国版的《春风化雨》，而且还有一丝《天堂电影院》的味道.
95,放牛班的春天,5,一个小孩遇到一位好的启蒙老师真的很重要 
96,放牛班的春天,5,令人痛心的故事，被社会抛弃的老师和孩子，他们的相遇使彼此都重拾了对生活的热爱，对人生的激情，在纯真与善良面前，恶人愈发可恶，上帝保佑，那该死的校长最终被抓，但好人不长命祸害遗千年，能生活在社会中的都是被逼破腐败的，成千上万，他们的名字就叫世俗。
97,放牛班的春天,5,非常著名的片子，大名鼎鼎，喜欢音乐，喜欢画风
98,放牛班的春天,4,一个落魄、失意的音乐爱好者在一群问题少年身上重新找回了自我，数个问题少年因为音乐的启蒙重新走上了正确的人生道路。天籁般的童声合唱贯穿影片始终，最令人动容的是伴随着孩子们的歌声，一架架纸飞机从幽暗、深邃的窗子中竞相飞出，还有影片结尾孩子脸上从失望到欣喜的表情转变。同时大赞影片摄影。
99,放牛班的春天,5,太喜欢这种调子的电影了，97分钟不长，但是感觉看了好久，每一个小细节都值得回味很久。里面的小男孩都很美好，小孩子会犯错是因为不知道是非对错，往往他们只有很小的理由，但却被成年人放大化。怎样去感化，去理解他们才是最正确的教育，而不是一味体罚惩戒。
100,放牛班的春天,5,这部片子的意义不仅在于马修感染了孩子们与校长老师，更在于打动了我们。独唱的小帅哥迷死人。贯穿始终的歌声久久萦绕在我耳边。影片能在一个半小时的时长下演的如此精彩甚至堪称经典，不拖沓却又恰到好处，确实鲜见。
101,放牛班的春天,5,天籁般的童声，里面的歌太美太美，净化心灵!
102,放牛班的春天,4,这么多年来被受赞誉的片子，其实也是名至实归了，教化和启迪对于小孩子来说多么重要，很神圣很伟大的一件事，90多分钟不长，但短小精悍虽说结局不是期待的那样，但绝对感人！
